exam_year,exam_type,phase,institute_code,college_name,branch_code,branch_name,category,gender,opening_rank,closing_rank,location,district,college_type,affiliated_to
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_A,BOYS,134966,134966,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_A,GIRLS,134966,134966,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_B,BOYS,127402,127402,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_B,GIRLS,127402,127402,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_C,BOYS,34682,34682,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_C,GIRLS,34682,34682,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_D,BOYS,127412,127412,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_D,GIRLS,127412,127412,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_E,BOYS,113055,113055,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,BC_E,GIRLS,120039,120039,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,SC_I,BOYS,34682,34682,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,SC_I,GIRLS,34682,34682,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,SC_II,BOYS,143696,143696,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,SC_II,GIRLS,143696,143696,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,SC_III,BOYS,109920,109920,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,SC_III,GIRLS,137894,137894,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ST,BOYS,150932,150932,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,ST,GIRLS,151385,151385,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,EWS,BOYS,90829,90829,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING,EWS,GIRLS,90829,90829,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,BOYS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,OC,GIRLS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_A,BOYS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_A,GIRLS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_B,BOYS,97878,97878,BANDLAGUDA,HYD,PVT,JNTUH
2025,TS_EAMCET,FINAL,AARM,AAR MAHAVEER ENGINEERING COLLEGE,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING,BC_B,GIRLS,133642,133642,BANDLAGUDA,HYD,PVT,JNTUH
